"PlotID","Insects","Landscape","Habitat","Elevation100","Temperature","Annual_Temp_LT","Annual_Prec_LT","time1","time2"
"5928_2_A","0","agriculture","arable field",2.54,17.66,9.601944444,647.8666667,61,77
"5928_2_F","1","agriculture","forest",3.7,15.95,9.043055556,745.1666667,30,44
"5928_2_F","0","agriculture","forest",3.7,15.95,9.043055556,745.1666667,92,Inf
"5928_2_U","1","agriculture","settlement",2.86,17.89,9.348888889,688.6666667,30,44
"5928_2_U","0","agriculture","settlement",2.86,17.89,9.348888889,688.6666667,30,44
"5933_4_A","1","agriculture","arable field",4.66,17.5,8.360555556,859.1333333,59,76
"5933_4_A","0","agriculture","arable field",4.66,17.5,8.360555556,859.1333333,43,58
"5938_2_A","1","agriculture","arable field",5.17,16.34,7.749722222,721.1666667,31,48
"5938_2_F","1","agriculture","forest",5.9,15.44,7.523888889,777.2666667,80,93
"5938_2_F","0","agriculture","forest",5.9,15.44,7.523888889,777.2666667,63,93
"5938_3_A","1","urban","arable field",5.38,15.4,7.803055556,787.5333333,31,48
"5938_3_A","0","urban","arable field",5.38,15.4,7.803055556,787.5333333,31,48
"5938_3_U","0","urban","settlement",5.81,16.03,7.478055556,852.7,16,30
"6022_1_G","0","seminatural","meadow",4.01,15.87,8.816388889,988.3666667,30,44
"6022_1_U","0","seminatural","settlement",3.46,16.58,8.958888889,969.5,30,61
"6026_3_A","1","agriculture","arable field",2.72,18.44,9.499722222,629.1,32,61
"6026_3_A","0","agriculture","arable field",2.72,18.44,9.499722222,629.1,32,61
"6026_3_G","1","agriculture","meadow",2.83,18.01,9.240555556,675.4666667,32,44
"6026_3_G","0","agriculture","meadow",2.83,18.01,9.240555556,675.4666667,45,61
"6026_3_U","1","agriculture","settlement",2.6,18.19,9.546666667,627.7,45,61
"6026_3_U","0","agriculture","settlement",2.6,18.19,9.546666667,627.7,32,44
"6027_3_A","0","agriculture","arable field",2.15,19,9.861111111,576.6333333,32,44
"6027_3_F","1","agriculture","forest",2.61,18.5,9.739166667,599.7666667,45,61
"6027_3_F","0","agriculture","forest",2.61,18.5,9.739166667,599.7666667,32,44
"6027_3_U","0","agriculture","settlement",2.29,18.75,9.818888889,549.8333333,32,44
"6029_3_F","1","seminatural","forest",4.08,17.94,8.920277778,734.7,30,43
"6029_3_F","0","seminatural","forest",4.08,17.94,8.920277778,734.7,30,43
"6029_3_G","1","seminatural","meadow",3.66,17.08,8.720277778,771.4333333,30,43
"6029_3_G","0","seminatural","meadow",3.66,17.08,8.720277778,771.4333333,44,59
"6031_4_F","1","urban","forest",2.81,17.74,9.509444444,673.5,30,42
"6031_4_F","0","urban","forest",2.81,17.74,9.509444444,673.5,30,59
"6031_4_U","1","urban","settlement",2.85,18.39,9.546111111,670.4666667,30,42
"6031_4_U","0","urban","settlement",2.85,18.39,9.546111111,670.4666667,30,42
"6032_4_A","1","agriculture","arable field",5.31,17.01,8.181666667,925.2666667,28,42
"6032_4_F","1","agriculture","forest",4.93,17.02,8.555,853.7,28,42
"6032_4_F","0","agriculture","forest",4.93,17.02,8.555,853.7,28,42
"6032_4_G","1","agriculture","meadow",4.9,17.78,8.265,919.8666667,28,42
"6032_4_G","0","agriculture","meadow",4.9,17.78,8.265,919.8666667,28,42
"6034_2_A","1","seminatural","arable field",4.15,17.55,8.4475,777.7,31,45
"6034_2_A","0","seminatural","arable field",4.15,17.55,8.4475,777.7,62,77
"6034_2_F","1","seminatural","forest",4.11,17.4,8.681388889,731.2,16,30
"6034_2_F","0","seminatural","forest",4.11,17.4,8.681388889,731.2,31,61
"6034_2_G","1","seminatural","meadow",4.37,17.41,8.357222222,804.7333333,31,45
"6034_2_G","0","seminatural","meadow",4.37,17.41,8.357222222,804.7333333,31,45
"6035_2_A","1","urban","arable field",3.48,17.71,8.883611111,762.9666667,16,47
"6035_2_A","0","urban","arable field",3.48,17.71,8.883611111,762.9666667,31,47
"6035_2_G","0","urban","meadow",4.34,17.31,8.686666667,805.6333333,31,47
"6035_2_U","1","urban","settlement",3.58,18.76,8.778333333,773.6333333,48,77
"6035_2_U","0","urban","settlement",3.58,18.76,8.778333333,773.6333333,63,77
"6035_3_A","1","urban","arable field",4.23,17.47,8.546944444,796.4666667,16,47
"6035_3_A","0","urban","arable field",4.23,17.47,8.546944444,796.4666667,16,30
"6035_3_F","0","urban","forest",4.29,17.34,8.846944444,737.1333333,3,47
"6035_3_U","0","urban","settlement",3.43,17.74,8.929722222,731.6333333,16,47
"6122_4_A","0","seminatural","arable field",3.58,17.32,9.173333333,850.6333333,30,44
"6122_4_F","1","seminatural","forest",3.14,17.04,9.6025,790.3666667,30,44
"6122_4_F","0","seminatural","forest",3.14,17.04,9.6025,790.3666667,30,44
"6123_1_A","1","seminatural","arable field",3.13,17.42,9.407777778,813.6333333,30,44
"6123_1_A","0","seminatural","arable field",3.13,17.42,9.407777778,813.6333333,30,44
"6123_1_G","1","seminatural","meadow",3.42,17.97,9.095555556,868.1333333,30,44
"6123_1_G","0","seminatural","meadow",3.42,17.97,9.095555556,868.1333333,61,92
"6125_2_A","1","seminatural","arable field",3.17,18.23,9.294722222,705.8666667,30,44
"6125_2_A","0","seminatural","arable field",3.17,18.23,9.294722222,705.8666667,61,77
"6125_2_F","1","seminatural","forest",2.72,16.46,9.45,690.4,30,44
"6125_2_F","0","seminatural","forest",2.72,16.46,9.45,690.4,30,44
"6125_2_U","1","seminatural","settlement",2.79,18.46,9.92,625.2666667,30,44
"6125_2_U","0","seminatural","settlement",2.79,18.46,9.92,625.2666667,30,44
"6131_1_A","1","urban","arable field",2.93,18.56,9.416666667,678.7,30,42
"6131_1_A","0","urban","arable field",2.93,18.56,9.416666667,678.7,30,42
"6131_1_F","1","urban","forest",2.82,17.32,9.4325,683.8333333,16,29
"6131_1_F","0","urban","forest",2.82,17.32,9.4325,683.8333333,30,42
"6137_4_A","0","seminatural","arable field",5.65,18.18,7.903333333,833.8333333,46,59
"6137_4_F","1","seminatural","forest",5.5,16.62,8.087222222,803.9666667,16,30
"6137_4_F","0","seminatural","forest",5.5,16.62,8.087222222,803.9666667,16,30
"6137_4_G","1","seminatural","meadow",5.08,17.99,8.173611111,780.0666667,31,45
"6137_4_G","0","seminatural","meadow",5.08,17.99,8.173611111,780.0666667,31,45
"6224_2_A","1","agriculture","arable field",2.42,16.69,9.95,636.7,61,77
"6224_2_F","1","agriculture","forest",2.81,16.6,9.531388889,699.6333333,30,44
"6224_2_F","0","agriculture","forest",2.81,16.6,9.531388889,699.6333333,61,77
"6224_2_U","1","agriculture","settlement",2.99,18.86,9.671111111,648.5,30,44
"6225_2_A","0","urban","arable field",2.72,18.16,10.23277778,565,61,77
"6225_2_F","1","urban","forest",2.79,18.52,10.18055556,624.6,30,43
"6225_2_F","0","urban","forest",2.79,18.52,10.18055556,624.6,44,60
"6225_2_U","1","urban","settlement",1.8,18.48,10.30861111,608.8,30,43
"6225_2_U","0","urban","settlement",1.8,18.48,10.30861111,608.8,30,43
"6231_4_A","1","seminatural","arable field",2.61,18.96,9.685833333,663.6333333,15,27
"6231_4_A","0","seminatural","arable field",2.61,18.96,9.685833333,663.6333333,15,27
"6231_4_F","1","seminatural","forest",2.92,17.34,9.575555556,691.8,15,27
"6231_4_F","0","seminatural","forest",2.92,17.34,9.575555556,691.8,15,27
"6231_4_G","1","seminatural","meadow",2.9,18.46,9.578055556,718.3666667,28,41
"6231_4_G","0","seminatural","meadow",2.9,18.46,9.578055556,718.3666667,28,41
"6234_2_F","1","seminatural","forest",4.74,16.57,8.339166667,921.2,31,61
"6234_2_G","1","seminatural","meadow",4.5,16.62,8.420277778,941.8,16,61
"6234_2_G","0","seminatural","meadow",4.5,16.62,8.420277778,941.8,62,74
"6327_2_A","1","agriculture","arable field",2.77,18.39,9.739166667,624.8333333,32,44
"6327_2_A","0","agriculture","arable field",2.77,18.39,9.739166667,624.8333333,32,44
"6327_2_G","0","agriculture","meadow",2.94,17.61,9.568611111,641.6666667,32,44
"6327_2_U","1","agriculture","settlement",2.63,17.68,9.763611111,615.5,32,44
"6327_2_U","0","agriculture","settlement",2.63,17.68,9.763611111,615.5,32,61
"6532_3_A","1","urban","arable field",3.31,18.54,9.428888889,646.9,29,42
"6532_3_A","0","urban","arable field",3.31,18.54,9.428888889,646.9,29,42
"6532_3_F","1","urban","forest",3.23,17.57,9.659166667,608.8333333,29,42
"6532_3_F","0","urban","forest",3.23,17.57,9.659166667,608.8333333,29,42
"6533_4_F","0","seminatural","forest",4.1,17.38,8.924444444,820.1666667,29,42
"6533_4_U","1","seminatural","settlement",3.93,17.56,8.936111111,814.6666667,29,42
"6533_4_U","0","seminatural","settlement",3.93,17.56,8.936111111,814.6666667,91,Inf
"6836_3_A","1","agriculture","arable field",5.42,17.35,8.335833333,826.9666667,30,42
"6934_1_A","1","agriculture","arable field",5.23,NA,8.583611111,834.1,30,44
"6934_1_A","0","agriculture","arable field",5.23,NA,8.583611111,834.1,14,29
"6934_1_F","1","agriculture","forest",5.06,17.12,9.151111111,690.7333333,30,44
"6934_1_F","0","agriculture","forest",5.06,17.12,9.151111111,690.7333333,30,44
"6934_1_G","1","agriculture","meadow",4.65,17.3,8.728055556,794.6666667,30,44
"6934_1_G","0","agriculture","meadow",4.65,17.3,8.728055556,794.6666667,30,44
"6938_4_A","0","urban","arable field",3.43,18.44,9.454444444,653.9666667,89,Inf
"6938_4_G","0","urban","meadow",3.63,18.93,9.281666667,680.3,19,50
"6938_4_U","1","urban","settlement",3.65,18.85,9.3825,699.9666667,19,50
"6938_4_U","0","urban","settlement",3.65,18.85,9.3825,699.9666667,89,Inf
"6945_2_F","1","seminatural","forest",11.22,13.63,4.966944444,1401.833333,28,41
"6945_2_F","0","seminatural","forest",11.22,13.63,4.966944444,1401.833333,28,41
"6945_2_G","0","seminatural","meadow",6.56,15.65,7.490277778,1153.3,28,41
"6945_2_N","1","seminatural","forest",9.32,15.85,6.330277778,1349.033333,15,27
"6945_2_N","0","seminatural","forest",9.32,15.85,6.330277778,1349.033333,59,89
"7036_4_G","1","seminatural","meadow",4.64,16.62,8.984166667,758.3666667,91,Inf
"7143_4_F","1","urban","meadow",3.73,18.04,8.765,960.3,28,41
"7143_4_F","0","urban","meadow",3.73,18.04,8.765,960.3,91,Inf
"7143_4_G","1","urban","meadow",3.1,19.58,9.134444444,905.6,15,27
"7143_4_G","0","urban","meadow",3.1,19.58,9.134444444,905.6,15,27
"7143_4_U","1","urban","settlement",3.77,20.16,8.939166667,949,28,41
"7143_4_U","0","urban","settlement",3.77,20.16,8.939166667,949,28,41
"7147_1_F","1","seminatural","forest",8.29,15.01,6.983888889,1195.666667,14,27
"7147_1_F","0","seminatural","forest",8.29,15.01,6.983888889,1195.666667,14,27
"7147_1_G","1","seminatural","meadow",6.79,15.67,7.415277778,1088.4,14,27
"7147_1_N","1","seminatural","forest",8.58,NA,7.083611111,1181.066667,14,27
"7147_1_N","0","seminatural","forest",8.58,NA,7.083611111,1181.066667,28,41
"7246_1_A","1","seminatural","arable field",4.53,17.76,8.477222222,1001.566667,28,41
"7246_1_A","0","seminatural","arable field",4.53,17.76,8.477222222,1001.566667,28,41
"7246_1_F","1","seminatural","forest",5.36,16.86,7.988888889,1085.5,14,27
"7246_1_F","0","seminatural","forest",5.36,16.86,7.988888889,1085.5,28,41
"7246_1_G","1","seminatural","meadow",4.37,17.04,8.223888889,1058.3,14,27
"7246_1_G","0","seminatural","meadow",4.37,17.04,8.223888889,1058.3,28,41
"7332_3_A","1","agriculture","arable field",4.46,17.33,9.052777778,746,14,30
"7332_3_A","0","agriculture","arable field",4.46,17.33,9.052777778,746,14,30
"7332_3_F","0","agriculture","forest",4.85,16.77,8.961111111,774.4,31,75
"7332_3_G","1","agriculture","meadow",4.29,17.4,9.061111111,739.5666667,14,30
"7332_3_G","0","agriculture","meadow",4.29,17.4,9.061111111,739.5666667,31,75
"7437_1_A","1","agriculture","arable field",4.99,18.12,8.857222222,847.0666667,28,42
"7437_1_A","0","agriculture","arable field",4.99,18.12,8.857222222,847.0666667,28,42
"7437_1_F","1","agriculture","forest",4.98,17.02,8.845555556,852.6333333,14,27
"7437_1_F","0","agriculture","forest",4.98,17.02,8.845555556,852.6333333,28,42
"7437_1_G","1","agriculture","meadow",5.2,18.01,8.795555556,859.8,14,27
"7437_1_G","0","agriculture","meadow",5.2,18.01,8.795555556,859.8,28,42
"7446_1_F","1","urban","forest",4.68,17.54,9.130555556,885.9,15,26
"7446_1_F","0","urban","forest",4.68,17.54,9.130555556,885.9,27,40
"7446_1_G","0","urban","meadow",3.85,18.26,9.313611111,879.5666667,15,26
"7446_1_U","1","urban","settlement",3.21,17.65,9.646666667,850.2,14,27
"7446_1_U","0","urban","settlement",3.21,17.65,9.646666667,850.2,27,40
"7544_2_A","1","agriculture","arable field",4.32,17.78,9.042777778,856.8,14,27
"7544_2_A","0","agriculture","arable field",4.32,17.78,9.042777778,856.8,14,27
"7544_2_F","1","agriculture","forest",4.74,18.01,9.0625,850.8,28,41
"7544_2_F","0","agriculture","forest",4.74,18.01,9.0625,850.8,76,90
"7544_2_G","0","agriculture","meadow",4.21,18.1,9.006388889,866.2666667,28,41
"7545_2_A","1","agriculture","arable field",3.31,NA,9.351111111,832.3666667,28,41
"7545_2_A","0","agriculture","arable field",3.31,NA,9.351111111,832.3666667,28,41
"7545_2_F","1","agriculture","forest",3.93,17.48,9.320833333,846.5,14,27
"7545_2_F","0","agriculture","forest",3.93,17.48,9.320833333,846.5,59,90
"7545_2_U","1","agriculture","settlement",3.42,18.4,9.409444444,834.4,14,27
"7545_2_U","0","agriculture","settlement",3.42,18.4,9.409444444,834.4,28,41
"7546_3_A","1","agriculture","arable field",3.04,18.8,9.576944444,778.1333333,28,41
"7546_3_A","0","agriculture","arable field",3.04,18.8,9.576944444,778.1333333,59,90
"7546_3_G","1","agriculture","meadow",3.12,18.97,9.565833333,784.3,3,14
"7546_3_G","0","agriculture","meadow",3.12,18.97,9.565833333,784.3,15,27
"7546_3_U","1","agriculture","settlement",3.09,18.92,9.562222222,783.9333333,15,27
"7546_3_U","0","agriculture","settlement",3.09,18.92,9.562222222,783.9333333,28,41
"7730_2_A","1","urban","arable field",5.53,17.65,8.688055556,935.7666667,14,28
"7730_2_A","0","urban","arable field",5.53,17.65,8.688055556,935.7666667,29,39
"7730_2_F","1","urban","forest",5.93,17.21,8.679444444,943.1,1,13
"7730_2_F","0","urban","forest",5.93,17.21,8.679444444,943.1,14,28
"7730_2_U","0","urban","settlement",5.24,19.34,8.8975,885,40,53
"7835_1_F","1","urban","forest",5.09,17.28,9.789722222,945.7666667,3,18
"7835_1_F","0","urban","forest",5.09,17.28,9.789722222,945.7666667,19,31
"7835_1_G","1","urban","meadow",5.03,16.97,9.816944444,942.2333333,3,18
"7835_1_G","0","urban","meadow",5.03,16.97,9.816944444,942.2333333,3,18
"7837_4_F","0","seminatural","forest",5.57,16.07,8.914722222,1022.833333,15,29
"7837_4_U","1","seminatural","settlement",5.95,16.94,8.765277778,1073.6,15,29
"7837_4_U","0","seminatural","settlement",5.95,16.94,8.765277778,1073.6,15,29
"7935_2_A","1","urban","arable field",5.58,17.23,9.013333333,1050.966667,17,32
"7935_2_A","0","urban","arable field",5.58,17.23,9.013333333,1050.966667,17,32
"7935_2_F","1","urban","forest",5.51,15.92,9.296666667,1024.066667,33,50
"7935_2_F","0","urban","forest",5.51,15.92,9.296666667,1024.066667,17,32
"7935_2_U","0","urban","settlement",5.53,17.4,9.053055556,1045.133333,33,50
"8030_1_F","1","agriculture","forest",6.5,19.23,8.385833333,1024.8,29,39
"8030_1_F","0","agriculture","forest",6.5,19.23,8.385833333,1024.8,29,39
"8030_1_G","1","agriculture","meadow",6.36,16.81,8.468611111,1011.4,13,27
"8030_1_G","0","agriculture","meadow",6.36,16.81,8.468611111,1011.4,28,39
"8130_2_A","1","seminatural","arable field",7.24,15.55,8.193611111,1097.366667,61,74
"8130_2_A","0","seminatural","arable field",7.24,15.55,8.193611111,1097.366667,14,60
"8130_2_F","1","seminatural","forest",7.76,14.66,7.925,1161.333333,43,60
"8130_2_F","0","seminatural","forest",7.76,14.66,7.925,1161.333333,61,74
"8130_2_G","1","seminatural","meadow",7.42,15.43,7.878333333,1189.666667,13,26
"8130_2_G","0","seminatural","meadow",7.42,15.43,7.878333333,1189.666667,27,41
"8131_3_G","1","urban","meadow",7.3,16.75,8.255833333,1143.2,14,26
"8131_3_G","0","urban","meadow",7.3,16.75,8.255833333,1143.2,40,53
"8131_3_U","0","urban","settlement",7.28,17.66,8.301666667,1123.466667,13,26
"8141_2_G","1","urban","meadow",6.12,19.35,8.794722222,1420.4,15,30
"8141_2_G","0","urban","meadow",6.12,19.35,8.794722222,1420.4,3,14
"8141_2_U","1","urban","settlement",6.16,19.54,8.951388889,1467.5,15,30
"8141_2_U","0","urban","settlement",6.16,19.54,8.951388889,1467.5,31,45
"8229_2_F","1","urban","forest",8.07,15.59,7.868888889,1221.2,28,59
"8229_2_F","0","urban","forest",8.07,15.59,7.868888889,1221.2,28,59
"8229_2_G","1","urban","meadow",7.69,16.69,7.9375,1200.2,28,59
"8229_2_G","0","urban","meadow",7.69,16.69,7.9375,1200.2,28,59
"8235_1_F","1","urban","forest",6.52,15.62,8.331388889,1452.333333,17,30
"8235_1_F","0","urban","forest",6.52,15.62,8.331388889,1452.333333,17,30
"8235_1_G","1","urban","meadow",6.5,16.13,8.331388889,1452.333333,33,45
"8235_1_G","0","urban","meadow",6.5,16.13,8.331388889,1452.333333,33,45
"8235_1_U","0","urban","settlement",7.15,NA,8.067222222,1532.633333,19,32
"8240_2_F","1","urban","forest",7.86,18.65,7.080833333,1801,3,17
"8240_2_F","0","urban","forest",7.86,18.65,7.080833333,1801,1,17
"8240_2_G","1","urban","meadow",5.39,19.58,8.473333333,1525.4,3,17
"8240_2_G","0","urban","meadow",5.39,19.58,8.473333333,1525.4,18,34
"8243_1_F","1","seminatural","forest",9.33,17.12,6.776944444,1961.433333,3,17
"8243_1_F","0","seminatural","forest",9.33,17.12,6.776944444,1961.433333,3,17
"8243_1_G","1","seminatural","meadow",4.56,19.52,9.148611111,1370.866667,3,17
"8243_1_G","0","seminatural","meadow",4.56,19.52,9.148611111,1370.866667,3,17
"8243_1_U","1","seminatural","settlement",4.74,20.23,9.150277778,1292.6,3,17
"8243_1_U","0","seminatural","settlement",4.74,20.23,9.150277778,1292.6,18,33
"8343_4_F","1","seminatural","forest",8.42,19.02,7.549722222,1752.933333,19,33
"8343_4_F","0","seminatural","forest",8.42,19.02,7.549722222,1752.933333,19,33
"8343_4_G","1","seminatural","meadow",5.97,18.44,8.644722222,1556.2,3,18
"8343_4_G","0","seminatural","meadow",5.97,18.44,8.644722222,1556.2,19,33
